SKL序号,王名字,楔形文字 / 转写 / 意义,S2名字得分,S2名字得分理由,历史王号,S2王号得分,王号得分理由,核心事迹,S2事迹得分,S2事迹得分理由
90,Sharru-kin,𒊬𒊒𒄀 (Šar-ru-kin2) / 正统之王,0.5,Šar (𒊬) 信号，物理含“契刻/展示”义。,𒈗,1,合法性之王，物理对撞“示”。,击败卢加尔扎克西，建立帝国。,1,终极复兴。从割据乱局中夺回全境主权，重建秩序。
91,Rimush,𒈩 (Ri-mu-uš),0.01,侧重名望。,𒈗,0.01,底噪。,镇压叛乱。,0.5,秩序维持。
92,Manishtushu,𒈠𒀭𒅖𒌅𒋢 (Ma-an-iš-tu-su),0.01,侧重比较。,𒈗,0.01,底噪。,统治 15 年。,0.1,守成。
93,Naram-Sin,𒀭𒈾𒊏𒄠𒀭𒍪 (Na-ra-am-Suen),1,AN (𒀭/太阳/神) 前缀强制添加。名字物理坍缩为“太阳之子/示”。,𒀭 (Diĝir),1,自我神格化。人类历史上首位将“太阳/神”符号刻在自己名字前的王。,统一四方，确立绝对王权。,1,秩序之巅。通过占卜与神格化（恒）实现全境复兴。
94,Shar-kali-sharri,𒊬𒂵𒉌𒊬𒌷 (Šar-ka-li-šar-ri),0.5,Šar (展示/契刻) 信号叠加。,𒈗,0.01,底噪。,阿卡德帝国崩溃。,0.1,逻辑断裂起点。
95,Ur-nigin,𒌨𒉌ᒋ𒅔 (Ur-niĝin),0.01,兽名信号 (S2)。,𒈗,0.01,底噪。,乌鲁克第四王朝开启。,0.1,权力位移。
96,Ur-gigir,𒌨𒄑𒇀 (Ur-gigir),0.01,兽名信号 (S2)。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
97,Kuda,𒆪𒁕 (Ku-da),0.1,皮革/兽信号。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
98,Puzur-ili,𒅤𒊭𒄿𒉌 (Puzur4-i-li2),0.5,IL (神/示) 信号。,𒈗,0.01,底噪。,统治 5 年。,0.01,无。
99,Ur-Utu,𒌨𒀭𒌓 (Ur-dUtu) / 太阳神之兽,1,UTU (太阳神) 信号存在，虽然被 UR (兽) 压制，但名字层位极高。,𒈗,0.01,底噪。,乌鲁克第四王朝终结。,0.1,守成失败。
100,Erridupizir,𒂗𒊑𒁺𒁉𒍣𒅕,0.01,古提人，异邦逻辑。,𒈗,0.01,底噪。,古提人入侵，毁灭阿卡德。,1,异邦夺产 (S2负面值)。这是“恒”复兴逻辑的背景板。
101,Imta,𒅎𒋫 (Im-ta),0.01,纯异邦底噪。,𒈗,0.01,行政底噪。,古提王朝开启，秩序大乱。,1,复国逻辑背景：对应王亥遇害后的权力真空。
102,Inkishush,𒅔𒆠シュー (In-ki-šu-uš),0.01,底噪。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
103,Sarlagab,𒊬𒆷갑 (Šar-la-gab),0.5,Šar (展示/契刻) 信号。,𒈗,0.01,底噪。,统治 6 年。,0.1,秩序维持。
104,Shulme,𒂄𒈨 (Šul-me),0.5,ME (法制/示) 信号。,𒈗,0.01,底噪。,统治 6 年。,0.5,示/占卜信号。
105,Elulumesh,𒂊𒇻𒇻𒈩,0.5,Meš (英雄) 信号。,𒈗,0.01,底噪。,统治 6 年。,0.1,守成。
106,Inimabakesh,𒄿𒉌𒈠𒁀󠁷,0.01,底噪。,𒈗,0.01,底噪。,统治 5 年。,0.01,无。
107,Igeshaush,𒄿Ꭸ𒂊𒊭𒍑,0.01,底噪。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
108,Yarlagab,𒄿𒅈𒆷𒂵𒀊,0.01,底噪。,𒈗,0.01,底噪。,统治 15 年。,0.1,守成。
109,Ibate,𒄿𒁀𒋼,0.5,BA (祭祀/分割) 信号。,𒈗,0.01,底噪。,统治 3 年。,0.5,示/祭祀对撞。
110,Yarla,𒄿𒅈𒆷,0.01,底噪。,𒈗,0.01,底噪。,统治 3 年。,0.01,无。
111,Kurum,𒆪𒊒𒌝,0.01,底噪。,𒈗,0.01,底噪。,统治 1 年。,0.01,无。
112,Apilkin,𒀀𒉈𒆠𒅔,0.01,底噪。,𒈗,0.01,底噪。,统治 3 年。,0.01,无。
113,La-erabum,𒆷𒂊𒊏𒁍𒌝,0.01,底噪。,𒈗,0.01,底噪。,统治 2 年。,0.01,无。
114,Irarum,𒄿𒊏𒊒𒌝,0.01,底噪。,𒈗,0.01,底噪。,统治 2 年。,0.01,无。
115,Ibranum,𒄿𒅁𒊏𒉡𒌝,0.01,底噪。,𒈗,0.01,底噪。,统治 1 年。,0.01,无。
116,Hablum,𒄩𒀊𒈝,0.01,破坏/伤害。,𒈗,0.01,底噪。,统治 2 年。,1,压迫者逻辑：对应“有易氏”的压迫。
117,Puzur-Suen,𒅤𒊭𒀭𒍪 (Puzur4-Suen),1,Suen (月神/神示) 核心物理指纹。Puzur (秘密) 对应占卜。,𒈗,1,神谕掌控者。,黑暗时代的闪烁，维持正统祭祀脉络。,0.5,火种存续：在异邦统治下维持“恒”的基因。
118,Yarlaganda,𒄿𒅈𒆷𒃶𒁕,0.01,底噪。,𒈗,0.01,底噪。,统治 7 年。,0.01,无。
119,Si-um,𒋛𒌑𒌝,0.01,角信号。,𒈗,0.01,底噪。,统治 7 年。,0.01,无。
120,Tirigan,𒋾𒌷𒂵𒀭 (Ti-ri-ga-an),0.5,AN (太阳) 结尾。,𒈗,0.01,底噪。,末代古提王。在位仅 40 天被彻底击败。,1,复国转折点：他的覆灭标志着“复国于同一个外族”的物理实现。
121,Utu-hengal,𒀭𒌓𒃶𒅅 (Utu-he2-gal2) / 太阳神+丰饶,1,UTU (太阳神) 核心指纹。物理坍缩“恒 = 太阳”。,𒈗,1,终极祭司王。,驱逐古提人，复兴苏美尔。从同一个外族手中夺回主权。,1,恒之巅峰：暴力复国，太阳指引。
122,Ur-Nammu,𒌨𒀭𒇉 (Ur-dNammu),0.5,𒀭 (神/示) 信号。颁布法典（示于天下）。,𒈗,1,奠基者。,建立乌尔三王朝，确立契约。,1,复兴秩序：物理坍缩王恒重建商族秩序。
123,Shulgi,𒂄𒄀 (Šul-gi),1,自我神格化。名字含 𒀭 (神/太阳信号) 前缀。,𒀭,1,神王。,高度集权，掌控全境祭祀（示）。,1,秩序大成。
124,Amar-Suen,𒀭𒀫𒀭𒍪 (Amar-dSuen),1,Suen (月/占卜) 核心指纹。𒀭 (神/太阳) 叠加。,𒈗,0.01,底噪。,统治 9 年。,0.5,占卜/神权维持。
125,Shu-Suen,𒀭𒋗𒀭𒍪 (dŠu-dSuen),1,Suen (月/占卜) + 𒀭 (太阳/示)。,𒈗,0.01,底噪。,抵御阿摩利人（外族）。,0.5,防御外族。
126,Ibbi-Suen,𒀭𒄿𒉈𒀭𒍪 (dI-bi2-dSuen),1,Suen (月/占卜) 信号。,𒈗,0.01,底噪。,乌尔三王朝终结，被俘往异乡（同王亥悲剧）。,0.1,复兴终结。
127,Ishbi-Erra,𒅖𒁉𒅕𒊏 (Iš-bi-Er-ra),0.5,Erra (战神) 具备“示”的暴力威慑力。,𒈗,1,乱世复兴者。,从埃兰人手里夺回乌尔，建立伊辛王朝。,1,复仇/复国：从同一个外族手里抢回主权。
128,Shu-ilishu,𒋗𒄿𒉌𒋗 (Šu-i-li2-šu) / 回归神灵,1,IL (神/示) 信号。意为“神灵之手”。,𒈗,1,夺回者。,从埃兰夺回被掠夺的月神像。完美的资产/信仰夺回记录。,1,恒之复仇逻辑：夺回被外族抢走的“示（神像）”。
129,Iddin-Dagan,𒀭𒄿𒁷𒀭𒁕𒃶 (I-din-dDa-gan),0.5,AN (太阳/神) 信号。,𒈗,0.01,底噪。,统治 21 年。,0.1,守成。
130,Ishme-Dagan,𒅖𒈨𒀭𒁕𒃶 (Iš-me-dDa-gan),1,Ishme (听从/占卜) + AN (神/太阳)。,𒈗,1,神谕听从者。,恢复尼普尔的祭祀特权（示）。,1,复兴祭祀：物理对撞王恒“示”之属性。
131,Lipit-Ishtar,𒇷𒁉𒀉𒀭𒈹 (Li-pi2-it-Eštar),0.5,Ishtar (神/示) 信号。颁布法典。,𒈗,0.01,底噪。,法律奠基。,0.5,秩序确认。
132,Ur-Ninurta,𒌨𒀭𒊩𒌆𒅁 (Ur-dNin-urta),0.5,AN (神/太阳) 信号。,𒈗,0.01,底噪。,WB 444 终点。,0.5,主权维持。
