序号,王名字,楔形文字/转写,名字分,名字逻辑 (上/犬/甲/田/深),王号标签,王号分,王号逻辑 (苏+阿硬核对撞),事迹描述,事迹分,终极逻辑汇总
12,En-tarah-ana,𒂗𒋫𒊏𒀭𒈾,0.5,ANA (上) 信号。,En,0.01,王号不合规。,统治 420 年。,0.01,守成。
13,Babum,𒁀𒁍𒌝,0.1,阿卡德语“门”。,Lugal,0.01,王号不合规。,统治 300 年。,0.01,无。
14,Puannum,𒅤𒀭𒉡𒌝,0.5,AN (上/天) 信号。,Lugal,0.01,王号不合规。,统治 840 年。,0.01,无。
15,Kalibum,𒅗𒇷𒁍𒌝,0.5,Kalibum (阿卡德语: 犬)。绝对犬信号。,Lugal,0.01,惨死！ 虽是犬名，但王号缺位。,统治 960 年。,0.1,守成。
16,Kalumum,𒅗𒇻𒈬𒌝,0.5,Kalumum (阿卡德语: 羊)。绝对田/羊信号。,Lugal,0.01,惨死！ 王号缺位。,统治 840 年。,0.1,守成。
17,Zuqaqip,𒍪𒅗𒆠𒅁,0.01,蝎子。,Lugal,0.01,王号不合规。,统治 900 年。,0.01,无。
18,Atab,𒀀𒋫𒀊,0.5,烧灼/光。,Lugal,0.01,王号不合规。,统治 600 年。,0.01,无。
19,Mashda,𒈦sda (Maš-da),0.5,Mashda (阿卡德语: 羚羊/田羊)。,Lugal,0.01,王号不合规。,统治 840 年。,0.01,无。
20,Arwium,𒅈𒌑𒌝,0.5,Arwium (狮子/猛犬属性)。,Lugal,0.01,王号不合规。,统治 720 年。,0.01,无。
21,Etana,𒂊𒋫𒈾,1,上/棒子 (升天/na为直立石碑) + 羊/方框 (牧羊人/e为结构框),Lugal,0.01,杀！ 仅苏美尔王号，缺乏阿卡德。,洪水后整合列国，牧羊升天。,1,远古上甲/恒：物理与事迹的绝对源头。
22,Balih,𒁀𒇷,0.5,孤立甲 (Ba/半框特征),Lugal,0.01,杀！ 仅苏美尔王号。,统治 400 年。,0.01,孤立甲信号/逻辑断裂。
23,En-me-nuna,𒂗𒈨𒉣𒈾,1,棒子 (Me/笔触) + 深渊/方框 (En/Nun),En,0.1,仅苏美尔职能。,统治 660 年。,0.1,物理合龙。
24,Melem-Kish,𒈨𒉈𒅎,1,棒子 (Me/笔触) + 田/方框 (Kish/地),Lugal,0.01,杀！,统治 900 年。,0.01,物理合龙。
25,Barsal-nuna,𒁇𒉣𒈾,1,棒子 (Bar/十字棍) + 深渊 (Nun),Lugal,0.01,杀！,统治 1200 年。,0.01,物理对撞。
26,Zamug,𒍝𒈬𒊌,1,棒子 (Za/直立笔触) + 框内有物 (Mu/Ug),Lugal,0.01,杀！,统治 140 年。,0.01,物理合龙。
27,Tizqar,𒋾특갑,0.5,孤立上 (Ti/箭矢棒子),Lugal,0.01,杀！,统治 305 年。,0.01,孤立上信号。
28,Ilku,𒅋𒆪,1,棒子 (Il/垂直举起) + 方框 (Ku),Lugal,0.01,杀！,统治 900 年。,0.01,物理对撞。
29,Iltasadum,𒅋𒋫,0.5,孤立上 (Il/棒子),Lugal,0.01,杀！,统治 1200 年。,0.01,孤立上信号。
30,En-me-barage-si,𒂗𒈨𒁀𒊏Ꭸ𒋛,1,棒子 (Me) + 甲/田 (En/Barage王座方框),En-Lugal,0.5,具备双重霸权但缺阿卡德。,击败埃兰，缴获武器(夺甲)。,1,真·上甲先驱：物理与事迹的第一次核爆。
31,Aga,𒀀𒂵,0.5,孤立甲 (Ga/筐子/方框),Lugal,0.01,杀！,被吉尔伽美什击败。,0.01,王权跌落。
32,Mesh-ki-ang-gasher,𒈩,0.5,孤立甲 (Meš/框内有物),En,0.01,杀！,走向海洋/太阳。,0.1,孤立甲信号。
33,Enmerkar,𒂗𒈨𒅕,1,棒子 (Me/芦苇笔) + 深渊/方框 (En),Lugal,0.01,杀！,发明文字(笔/棒)。,0.5,物理合龙，但事迹偏文治。
34,Lugalbanda,𒈗,0.5,孤立上 (Lugal/棒子骨架),Lugal,0.01,杀！,牧羊人/神话英雄。,0.1,恒-上甲前导：血脉酝酿期。
35,Dumuzid (Fisher),𒌉,0.5,孤立甲 (捕鱼/深渊之水),Lugal,0.01,杀！,被敌军俘虏。,0.01,斩首/逻辑断层。
36,Gilgamesh,𒄑𒂆,1,棒子 (Bil/木头结构) + 甲/框内有物 (Ga/Meš),Lugal,0.5,王号被绝对神化。,修筑乌鲁克城墙(城即是甲)。,1,大魔王上甲：绝对防御与独立主权。
37,Ur-Nungal,𒌨𒉣,1,犬 (Ur) + 深渊/方框 (Nun),Lugal,0.01,杀！ 仅苏美尔王号。,吉尔伽美什之子。,0.5,紧耦合上甲子嗣：物理极致满分。
38,Udul-kalama,𒌑𒌌,1,羊 (Udul/牧人) + 田/国家 (Kalama/大方框),Lugal,0.01,杀！,统治 15 年。,0.01,物理合龙。
39,La-ba-shum,𒆷𒁀,0.5,孤立甲 (Ba/方框),Lugal,0.01,杀！,统治 9 年。,0.01,孤立甲信号。
40,En-nun-tarah-ana,𒂗𒉣𒋻,1,上 (Ana) + 羊/深渊 (Tarah/Nun),Lugal,0.01,杀！,统治 8 年。,0.01,物理极致坍缩/王权跌落。
41,Mesh-he,𒈩𒃶 (Meš-he),0.01,英雄 (Mesh) 信号，无“上/犬/甲”物理指纹。,Lugal,0.01,杀！ 仅苏美尔王号，无阿卡德对撞。,统治 36 年。,0.01,0.01 斩首。
42,Melem-ana,𒈨𒉈𒅎𒀭 (Me-lem4-an-na),0.5,上 (AN) 信号强烈。,Lugal,0.01,杀！ 仅苏美尔王号。,统治 6 年。,0.01,0.01 斩首。
43,Lugal-kitun,𒈗𒆠𒂅 (Lugal-ki-tun3),0.01,侧重基座，无 S4 信号。,Lugal,0.01,杀！,统治 36 年。,0.01,0.01 斩首。
44,Mesannepada,𒈩𒀭𒉌𒅆𒊒𒁕,0.5,上 (AN) 信号。,Lugal,0.1,虽仅为 Lugal，但开启了乌尔第一王朝的霸权，具备初步整合性。,确立新权力秩序。,0.5,秩序奠基。
45,Mesh-ki-ang-nuna,𒈩𒆠𒉘𒉣𒈾,0.5,深渊 (NUN) 信号。,Lugal,0.01,杀！,统治 36 年。,0.01,0.01 斩首。
46,Elulu,𒂊𒇻𒇻,0.01,资产信号 (S2)，S4 弱。,Lugal,0.01,杀！,统治 25 年。,0.01,0.01 斩首。
47,Balulu,𒁀𒇻𒇻,0.01,资产信号 (S2)。,Lugal,0.01,杀！,统治 36 年。,0.01,0.01 斩首。
48,Awan king 1,(未知),0.01,异邦占位符。,Lugal,0.01,杀！,外族统治。,0.01,上甲清算对象：属于被驱逐的异邦人。
49,Awan king 2,(未知),0.01,异邦占位符。,Lugal,0.01,杀！,异邦统治。,0.01,0.01 斩首。
50,Awan king 3,(未知),0.01,异邦占位符。,Lugal,0.01,杀！,异邦统治终结。,0.01,0.01 斩首。
51,Susuda,𒋢𒋢𒁕,0.01,皮革信号。,Lugal,0.01,杀！,统治 201 年。,0.01,0.01 斩首。
52,Dadasig,𒁕𒁕𒋛𒅅,0.01,角信号。,Lugal,0.01,杀！,统治 81 年。,0.01,0.01 斩首。
53,Mamagal,𒈠𒈠𒃲,0.01,规模信号。,Lugal,0.01,杀！,统治 360 年。,0.01,0.01 斩首。
54,Kalbum,𒅗𒀠𒁍 (Kal-bu),0.5,犬 (Kalbu/UR) 绝对物理信号。,Lugal,0.01,杀！ 虽然是犬名，但王号缺位。,统治 195 年。,0.1,守成。
55,Tuge,𒌅Ꭸ,0.01,纯音译底噪。,Lugal,0.01,杀！,统治 360 年。,0.01,0.01 斩首。
56,Men-nuna,𒈨𒉣𒈾,0.5,深渊 (NUN) 信号。,Lugal,0.01,杀！,统治 180 年。,0.1,守成。
57,Enbi-Ishtar,𒂗𒁉𒀭𒈹,0.5,En (苏美尔职能) + Ishtar (阿卡德神祇)。,En-Shar,0.5,完美坍缩！苏美尔 En 头衔与阿卡德女神名物理合体，跨文明王号。,统治 290 年。,0.5,上甲化身 (种子)。
58,Lugal-mu,𒈗𒈬,0.01,侧重木/名。,Lugal,0.01,杀！,统治 360 年。,0.01,0.01 斩首。
59,Hadanish,𒄩𒁕𒉌𒅖,0.01,异邦底噪。,Lugal,0.01,杀！,统治 360 年。,0.01,0.01 斩首。
60,Enshakushanna,𒂗𒊮𒆪𒀭ណា,1,上 (ANA) + 深 (En)。名字意为“归于天的 En”。,En-Lugal,0.5,双重王号：自称“国土之王”，开启了苏阿权力的终极整合。,驱逐基什(外族霸权)，复兴主权。,1,上甲真身 (战神)：物理对撞驱逐外族、回复本族统治。
61,Lugal-kinishe-dudu,𒈗𒆠𒉌𒂠𒌌𒌌 (Lugal-ki-ni-še3-du7-du7),0.5,DU7-DU7 (𒌌𒌌) 物理语义含“完善/对撞”，对齐占卜的逻辑闭环。,𒈗,0.01,底噪。,统治乌鲁克 120 年，统一苏美尔。,1,复兴/大一统。将乱局重新导向秩序。
62,Argandea,𒅈𒃶𒁲𒀀 (Ar-gan-de2-a),0.01,水属性 (S2)，无 S3 指纹。,𒈗,0.01,底噪。,统治 7 年。,0.01,无。
63,Nanni,𒋀𒈾 (Nan-ni2),0.01,侧重稳定/宁静。,𒈗,0.01,底噪。,建立乌尔第二王朝。,0.5,秩序重建。
64,Mesh-ki-ang-Nanna,𒈩𒆠𒉘𒀭𒋀𒆠 (Meš-ki-aĝ2-Nanna),0.01,Nanna 为月神，属于水/潮汐 (S2)，非太阳。,𒈗,0.01,底噪。,统治 36 年。,0.1,守成。
65,Elulu,𒂊𒇻𒇻 (E2-lu-lu),0.01,资产信号 (S2)。,𒈗,0.01,底噪。,统治 25 年。,0.01,无。
66,Balulu,𒁀𒇻𒇻 (Ba-lu-lu),0.01,资产分解信号 (S2)。,𒈗,0.01,底噪。,乌尔第二王朝终结。,0.01,逻辑断裂。
67,Lugal-Anne-Mundu,𒈗𒀭𒉈𒈬𒌦𒆕 (Lugal-an-ne2-mu-un-du3),1,AN (𒀭) 为太阳/天。名字意为“确立天之秩序的王”。,𒈗,0.5,正统复兴者。,复兴阿达布(Adab)，征服四方。史料载其“恢复了被遗忘的祭祀（示）”。,1,极致复国逻辑。从混乱中夺回主权并恢复祭祀。
68,Anbu,𒀭𒁍 (An-bu),0.5,AN (𒀭) 太阳信号存在。,𒈗,0.01,底噪。,建立马里王朝。,0.5,异域奠基。
69,Anba,𒀭𒁀 (An-ba),0.5,AN (太阳) + BA (分割/祭)。,𒈗,0.01,底噪。,统治 17 年。,0.1,守成。
70,Bazi,𒁀𒍣 (Ba-zi),0.5,BA (祭祀分割) 具备“示”的动作属性。,𒈗,0.01,底噪。,统治 30 年。,0.1,守成。
71,Zizi,𒍣𒍣 (Zi-zi),0.01,生命信号。,𒈗,0.01,底噪。,统治 20 年。,0.01,无。
72,Limer,𒇷𒈨 (Li-mer),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 30 年。,0.01,无。
73,Sharrum-iter,𒊬𒀸𒄿테 (Šar-rum-i-ter),0.5,ŠAR (𒊬) 具丰产/契刻（示）信号。,𒈗,0.01,底噪。,马里王朝终结。,0.01,无。
74,Ku-Baba,𒆪𒀭𒁀𒌑 (Ku3-Bau),0.01,猪神属性 (S2)，侧重生存力。,𒈗,0.01,底噪。,酒馆女主人，重建基什。,1,复国逻辑。从社会底层复兴王朝。
75,Unzi,𒌦𒍣 (Un-zi),0.01,侧重民众/生命。,𒈗,0.01,底噪。,建立阿克沙克王朝。,0.5,秩序更迭。
76,Undalulu,𒌦ंदा𒇻𒇻 (Un-da-lu-lu),0.01,资产信号 (S2)。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
77,Urur,𒌨𒌨 (Ur-ur),0.01,兽名信号 (S2)。,𒈗,0.01,底噪。,统治 6 年。,0.01,无。
78,Puzur-Nirah,𒅤𒊭𒀭𒈲 (Puzur4-Nirah),0.01,蛇神属性，偏水 (S2)。,𒈗,0.01,底噪。,统治 20 年。,0.1,守成。
79,Ishu-Il,𒄿𒋗𒅋 (I-šu-il),0.5,IL (神/示) 具备指示信号。,𒈗,0.01,底噪。,统治 24 年。,0.1,守成。
80,Ishme-Shamash,𒅖𒈨𒀭𒌓,1,棒子 (Ishme/垂直特征) + 田/框内有物 (Shamash/𒌓),Lugal,0.01,杀！ 仅为基什区域王，无“苏美尔与阿卡德之王(商王)”法统。,维持基什残存正统，未能实现大一统，后被推翻。,0.1,物理基因满分，法统事迹塌方！最终得分 0.001。伪上甲，物理斩首！
81,Puzur-Suen,𒅤𒊭𒀭𒍪,0.5,孤立深渊 (Puzur=深渊/方框内有物),Lugal,0.01,杀！ 仅苏美尔王号。,统治 25 年。,0.01,孤立甲信号/逻辑断裂。
82,Ur-Zababa,𒌨𒀭𒍝巴巴,1,犬 (Ur) + 方框 (Ba),Lugal,0.5,双栖对撞：阿卡德名+苏美尔王。,萨尔贡的旧主。,0.5,恒-上甲前导：血脉起始点。
83,Zimudar,𒍣𒈬𒁯,0.5,孤立框内有物 (Mu),Lugal,0.01,杀！ 仅苏美尔。,统治 30 年。,0.01,孤立甲信号。
84,Usi-watar,𒌑𒋛𒉿𒋻,0.01,无物理对撞,Lugal,0.01,杀！,统治 7 年。,0.01,斩首。
85,Eshtar-muti,𒀭𒈹𒈬𒋾,1,棒子 (Eshtar直立) + 框内有物 (Mu),Lugal,0.5,双栖合龙。,统治 11 年。,0.1,血脉接力：物理满分。
86,Ishme-Shamash,𒅖𒈨𒀭𒌓,1,棒子 (Ishme) + 田/框内有物 (Shamash/𒌓),Lugal,0.5,双栖合龙。,维持基什正统。,0.5,上甲高频区。
87,Shu-ilishu,𒋗𒄿𒉌𒋗,1,棒子 (Ili) + 田/甲 (Shu方框特征),Lugal,0.5,双栖合龙。,夺回神像 (资产/甲)。,1,真·上甲逻辑：三位一体。
88,Nannia,𒈾𒀭𒉌𒀀,0.01,无物理对撞,Lugal,0.01,杀！,统治 7 年。,0.01,斩首。
89,Lugal-zage-si,𒈗𒍝Ꭸ𒋛,1,棒子 (Lugal骨架) + 深渊/甲 (Zage),Lugal,0.1,秩序终结者，缺阿卡德。,被萨尔贡击败。,0.1,物理合龙但血脉中断。
90,Sharru-kin,𒊬𒊒𒄀,1,棒子 (Kin) + 田/框内有物 (Shar/𒊬),Lugal+Shar,0.5,终极坍缩：帝国双栖王号。,大一统，驱逐外族。,1,大魔王上甲：完美满分血脉。
91,Rimush,𒈩,0.5,孤立甲 (Meš/方框内有物),Shar,0.5,王号合规。,镇压叛乱。,0.5,紧耦合上甲子嗣。
92,Manishtushu,𒈠𒀭𒅖𒌅𒋢,0.5,孤立甲 (Ma/半框特征),Shar,0.5,王号合规。,远征。,0.5,紧耦合上甲子嗣。
93,Naram-Sin,𒀭𒈾𒊏𒄠,1,棒子 (Na直立) + 深渊/方框 (Ram),Lugal+Shar,0.5,终极坍缩。,自称为神，四方之王。,1,上甲巅峰复现：物理+事迹。
94,Shar-kali-sharri,𒊬,1,棒子 (Kali) + 田/有物 (Shar/𒊬),Shar,0.5,王号合规。,统治 25 年。,0.5,上甲余晖。
95,Ur-nigin,𒌨,1,犬 (Ur) + 田/围栏 (Nigin/方框),Lugal,0.01,杀！,帝国崩溃。,0.01,物理合龙/王权跌落。
96,Ur-gigir,𒌨,1,犬 (Ur) + 方框 (Gigir/战车方框),Lugal,0.01,杀！,统治 6 年。,0.01,物理合龙/王权跌落。
97,Kuda,𒆪,0.5,孤立甲 (Ku/方框内有物),Lugal,0.01,杀！,统治 6 年。,0.01,孤立甲信号。
98,Puzur-ili,𒅤𒊭𒄿𒉌,1,棒子 (Ili) + 深渊 (Puzur),Lugal,0.01,杀！,统治 5 年。,0.01,物理满分但无血脉支撑。
99,Ur-Utu,𒌨𒀭𒌓,0.5,孤立犬 (Ur),Lugal,0.01,杀！,统治 6 年。,0.01,孤立上信号。
100,Erridupizir,𒂗𒊑,0.5,孤立深渊 (Pizir),Lugal,0.01,杀！,异族入侵。,0.01,逻辑彻底断裂。
101,Imta,Gutian (外族音译),0.01,"纯粹的外族蛮族音译名。

无任何苏美尔语境下的“上(高/直/犬)”与“甲(框/深渊)”的表意物理字根。",蛮族首领,0.01,"斩立决！

纯粹的破坏者，不仅没有“苏美尔与阿卡德之王”，甚至连基本的城邦正统王号都没有。",带领古提蛮族部落冲入美索不达米亚平原，撕裂了阿卡德帝国的版图，带来的是纯粹的动荡与无序（反“甲”的秩序）。,0.01,法统、事迹、名字三维坍塌！最终得分 0.000001。绝对的历史底噪，连伪神都算不上，纯正的炮灰！
102,Inkishush,𒅔𒆠𒋗𒍑,0.01,底噪,Lugal,0.01,斩首,,0.01,无
103,Sarlagab,𒊬𒆷갑,0.5,Šar (𒊬/棒子/笔直),Lugal,0.01,斩首：虽名字物理坍缩100%，但古提王号不合规,,0.01,异族统治
104,Shulme,𒂄𒈨,0.01,逻辑无关,Lugal,0.01,斩首,,0.01,无
105,Elulumesh,𒂊𒇻𒇻𒈩,0.01,逻辑无关,Lugal,0.01,斩首,,0.01,无
106,Inimabakesh,𒄿𒉌𒈠,0.01,底噪,Lugal,0.01,斩首,,0.01,无
107,Igeshaush,𒄿Ꭸ𒂊𒊭𒍑,0.01,底噪,Lugal,0.01,斩首,,0.01,无
108,Yarlagab,𒄿𒅈𒆷,0.01,无,Lugal,0.01,斩首,,0.01,无
109,Ibate,𒄿𒁀𒋼,0.01,底噪,Lugal,0.01,斩首,,0.01,无
110,Yarla,𒄿𒅈𒆷,0.01,底噪,Lugal,0.01,斩首,,0.01,无
111,Kurum,𒆪𒊒𒌝,0.01,底噪,Lugal,0.01,斩首,,0.01,无
112,Apilkin,𒀀𒉈,0.01,底噪,Lugal,0.01,斩首,,0.01,无
113,La-erabum,𒆷𒂊𒊏,0.01,底噪,Lugal,0.01,斩首,,0.01,无
114,Irarum,𒄿𒊏𒊒𒌝,0.01,底噪,Lugal,0.01,斩首,,0.01,无
115,Ibranum,𒄿𒅁𒊏,0.01,底噪,Lugal,0.01,斩首,,0.01,无
116,Hablum,𒄩𒀊𒈝,0.01,底噪,Lugal,0.01,斩首,,0.01,无
117,Puzur-Suen,𒅤𒊭𒀭𒍪,0.5,Suen (上/天),Lugal,0.01,斩首：即便名字最像上甲，古提人身份是死罪,,0.5,黑暗中潜伏
118,Yarlaganda,𒄿𒅈𒆷,0.01,底噪,Lugal,0.01,斩首,,0.01,无
119,Si-um,𒋛𒌑𒌝,0.5,角/棒状,Lugal,0.01,斩首,,0.01,无
120,Tirigan,𒋾𒌷,0.5,棒状/上,Lugal,0.01,斩首,,1,被驱逐的外族目标
121,Utu-hengal,𒀭𒌓𒃶𒅅,0.5,Utu (棒状笔画/上/AN),苏阿合体王号,0.5,苏阿双栖：自称“四方之王”，Lugal + Shar 逻辑合龙,,1,驱逐古提人(外族)，回复主权
122,Ur-Nammu,𒌨𒀭𒇉,1,Ur (犬/动物),苏阿合体王号,1,苏阿双栖：乌尔三王朝开创者，Lugal + Shar,,1,建立法典，确立秩序
123,Shulgi,𒂄𒄀,0.5,Gi (棒状/木/苇),苏阿合体王号,1,终极神王：自称神，苏阿王号巅峰,,0.5,极度集权，稳定主权
124,Amar-Suen,𒀭𒀫𒀭𒍪,0.5,Amar (动物/牛犊),苏阿合体王号,1,苏阿合体王号,,0.5,守成期
125,Shu-Suen,𒀭𒋗𒀭𒍪,0.5,Shu (棒状/手/垂直),苏阿合体王号,1,苏阿合体王号,,0.5,修筑长城抵御阿摩利人
126,Ibbi-Suen,𒀭𒄿𒉈𒀭𒍪,0.01,无,Lugal,0.5,帝国崩塌，王号失效,,0.01,主权再次丧失
127,Ishbi-Erra,𒅖𒁉𒅕𒊏,0.5,Ish (上/山),苏阿合体王号,1,苏阿双栖：在伊辛重建主权,,1,驱逐埃兰人(外族)，夺回乌尔
128,Shu-ilishu,𒋗𒄿𒉌𒋗,0.5,Shu (棒状) + Ili (上),苏阿合体王号,1,苏阿双栖王号,,1,从外族手中夺回神像(核心资产)
129,Iddin-Dagan,𒀭𒄿𒁷𒀭𒁕𒃶,0.01,无,苏阿合体王号,0.5,王号继承,,0.5,守成
130,Ishme-Dagan,𒅖𒈨𒀭𒁕𒃶,0.5,Ishme (棒状笔画),苏阿合体王号,1,苏阿双栖王号,,0.5,减免尼普尔赋税，恢复祭祀
131,Lipit-Ishtar,𒇷𒁉𒀉𒀭𒈹,0.5,Ishtar (上/天),Lugal,0.5,王号衰落期,,0.5,颁布法典
132,Ur-Ninurta,𒌨𒀭𒊩𒌆𒅁,0.5,Ur (犬/动物),Lugal,0.01,斩首：伊辛晚期王号严重萎缩，无苏阿合体,,0.5,维持统治
