序号,王名字,楔形文字/转写,名字分,名字逻辑 (上/犬/甲/田/深),王号标签,王号分,王号逻辑 (苏+阿硬核对撞),事迹描述,事迹分,终极逻辑汇总,
42,Melem-ana,𒈨𒉈𒅎𒀭,0.5,Me (半框/报)，无乙信号。,Lugal,0.01,杀！,统治 6 年。,0.01,孤立报信号。,
43,Lugal-kitun,𒈗𒆠𒂅,0.01,无物理对撞。,Lugal,0.01,杀！,统治 36 年。,0.01,逻辑断裂。,
44,Mesannepada,𒈩𒀭𒉌,0.5,Meš (半框/报)，无乙信号。,Lugal,0.01,乌尔第一王朝霸权开启。,确立霸权。,0.5,孤立报信号。,
45,Mesh-ki-ang-nuna,𒈩𒆠𒉘𒉣𒈾,0.5,Meš (半框/报) 或 Nun (方框)。,Lugal,0.01,杀！,统治 36 年。,0.01,孤立报信号。,
46,Elulu,𒂊𒇻𒇻,0.5,E (半开放框/报)，无乙信号。,Lugal,0.01,杀！,统治 25 年。,0.01,孤立报信号。,
47,Balulu,𒁀𒇻𒇻,0.5,Ba (半框/报)，无乙信号。,Lugal,0.01,杀！,统治 36 年。,0.01,孤立报信号。,
48,Awan king 1,(未知),0.01,无物理对撞。,Lugal,0.01,杀！,异族统治。,0.01,逻辑断裂。,
49,Awan king 2,(未知),0.01,无物理对撞。,Lugal,0.01,杀！,异族统治。,0.01,逻辑断裂。,
50,Awan king 3,(未知),0.01,无物理对撞。,Lugal,0.01,杀！,异族统治终结。,0.01,逻辑断裂。,
51,Susuda,𒋢𒋢𒁕,0.5,Su (曲线特征/蛇形笔触/乙)。,Lugal,0.01,杀！,统治 201 年。,0.01,孤立乙信号。,
52,Dadasig,𒁕𒁕𒋛𒅅,0.5,Da (延伸曲线/乙) 或 Si (角曲线/乙)。,Lugal,0.01,杀！,统治 81 年。,0.01,孤立乙信号。,
53,Mamagal,𒈠𒈠𒃲,0.5,Gal (半框/大/报)。,Lugal,0.01,杀！,统治 360 年。,0.01,孤立报信号。,
54,Kalbum,𒅗𒀠𒁍,0.5,Ka (开放框/报)。,Lugal,0.01,杀！,统治 195 年。,0.01,孤立报信号。,
55,Tuge,𒌅Ꭸ,0.5,Tu (曲线笔触/乙)。,Lugal,0.01,杀！,统治 360 年。,0.01,孤立乙信号。,
56,Men-nuna,𒈨𒉣𒈾,0.5,Men (半框/报) 或 Nun (方框/报)。,Lugal,0.01,杀！,统治 180 年。,0.01,孤立报信号。,
57,Enbi-Ishtar,𒂗𒁉𒀭𒈹,1,En (半方框/报) + Ishtar (祭祀芦苇笔/己/乙),En-Shar,0.01,终极坍缩：苏美尔 En + 阿卡德神名。,维持跨文明祭祀。,0.5,报乙真神：半框与祭祀笔触的完美缝合。,
58,Lugal-mu,𒈗𒈬,0.01,无物理对撞。,Lugal,0.01,杀！,统治 360 年。,0.01,逻辑断裂。,
59,Hadanish,𒄩𒁕𒉌𒅖,0.5,Ha (曲线笔触/乙)。,Lugal,0.01,杀！,统治 360 年。,0.01,孤立乙信号。,
60,Enshakushanna,𒂗𒊮𒆪𒀭ណា,1,En (半方框/报) + Na (祭祀曲线/乙),En-Lugal,0.01,双栖王号：开启苏阿权力整合。,驱逐蛮族，恢复主权。,1,报乙巅峰：半框王权与复兴曲线。,
61,Lugal-kinishe-dudu,𒈗𒆠𒉌𒂠𒌌𒌌,1,Ki (𒆠/方框/报) + Dudu (𒌌𒌌/曲线/乙),Lugal,0.01,杀！ 仅苏美尔王号。,统一苏美尔，建立双城统治。,0.5,报乙合龙：方框地基与流动曲线。,
62,Argandea,𒅈𒃶𒁲𒀀,1,Gan (𒃶/方框/报) + Ar (𒅈/笔触曲线/乙),Lugal,0.01,杀！,统治 7 年。,0.01,报乙对撞：容器与笔触。,
63,Nanni,𒋀𒈾,0.5,Na (曲线/乙)，无半框报信号。,Lugal,0.01,杀！,建立乌尔第二王朝。,0.1,孤立乙信号。,
64,Mesh-ki-ang-Nanna,𒈩𒆠𒉘𒀭𒋀𒆠,1,Ki (方框/报) + Nanna (月/曲线/乙),Lugal,0.01,杀！,统治 36 年。,0.01,报乙合龙。,
65,Elulu,𒂊𒇻𒇻,1,E (半框/报) + Lu (曲线/乙),Lugal,0.01,杀！,统治 25 年。,0.01,报乙物理对撞。,
66,Balulu,𒁀𒇻𒇻,1,Ba (半框/报) + Lu (曲线/乙),Lugal,0.01,杀！,乌尔第二王朝终结。,0.01,报乙物理对撞。,
67,Lugal-Anne-Mundu,𒈗𒀭𒉈,1,An (上/乙) + Mun (方框/报),Lugal+Shar,0.01,双栖王号：开启四方霸权，苏阿权力缝合。,驱逐蛮族，重建祭祀(示)。,1,报乙真神：半框主权与祭祀曲线的巅峰。,
68,Anbu,𒀭𒁍,0.5,An (曲线笔触/乙)，报信号弱。,Lugal,0.01,杀！,建立马里王朝。,0.1,孤立乙信号。,
69,Anba,𒀭𒁀,1,Ba (半框/报) + An (笔触/乙),Lugal,0.01,杀！,统治 17 年。,0.01,报乙合龙。,
70,Bazi,𒁀𒍣,1,Ba (半框/报) + Zi (曲线/乙),Lugal,0.01,杀！,统治 30 年。,0.01,报乙对撞。,
71,Zizi,𒍣𒍣,0.5,Zi (曲线/乙)，无报信号。,Lugal,0.01,杀！,统治 20 年。,0.01,孤立乙信号。,
72,Limer,𒇷𒈨,1,Li (半框/报) + Me (笔触/乙),Lugal,0.01,杀！,统治 30 年。,0.01,报乙对撞。,
73,Sharrum-iter,𒊬𒀸𒄿테,1,Shar (方框/报) + Iter (曲线/乙),Shar+Lugal,0.01,完美合龙：名字自带阿卡德王号，位列苏王表。,统治终结节点。,0.1,报乙合龙：王号即报，名字即乙。,
74,Ku-Baba,𒆪𒀭𒁀𒌑,1,Ku (半框/报) + Bau (曲线/乙),Lugal,0.01,位格特殊，虽非双号，但统治跨度极大。,从废墟重建秩序，驱逐动荡。,1,报乙真神：神圣之皮(甲/报)与祭祀曲线。,
75,Unzi,𒌦𒍣,0.5,Zi (曲线/乙)，无报。,Lugal,0.01,杀！,建立阿克沙克王朝。,0.1,孤立乙信号。,
76,Undalulu,𒌦ンダ𒇻𒇻,0.5,Lu (曲线/乙)，无报。,Lugal,0.01,杀！,统治 6 年。,0.01,孤立乙信号。,
77,Urur,𒌨𒌨,0.5,Ur (动物曲线/乙)，无报。,Lugal,0.01,杀！,统治 6 年。,0.01,孤立乙信号。,
78,Puzur-Nirah,𒅤𒊭𒀭𒈲,1,Puzur (方框/深渊/报) + Nirah (蛇形曲线/乙),Lugal,0.01,杀！,统治 20 年。,0.1,报乙极致坍缩：深渊方框与蛇形曲线。,
79,Ishu-Il,𒄿𒋗𒅋,0.5,Il (笔触/乙)，无报。,Lugal,0.01,杀！,统治 24 年。,0.01,孤立乙信号。,
80,Ishme-Shamash,𒅖𒈨𒀭𒌓,1,Ish (半框/山/报) + Shamash (笔触/乙),Lugal+Shar,0.01,终极坍缩：阿卡德神名 + 苏美尔职能。,维持基什正统。,0.5,报乙真神：半框地缘与神圣笔触。,
81,Puzur-Suen,𒅤𒊭𒀭𒍪,1,Puzur (方框/报) + Suen (曲线笔触/乙),Lugal,0.01,杀！ 仅苏美尔王号。,统治 25 年。,0.1,报乙合龙：深渊方框与月之曲线。,0.01
82,Ur-Zababa,𒌨𒀭𒍝巴巴,1,Ba (半框/报) + Ur (动物曲线/乙),Lugal,0.01,双栖对撞：阿卡德名+苏美尔王。,萨尔贡的旧主。,0.5,报乙真神：半框权位与犬之曲线。,0.01
83,Zimudar,𒍣𒈬𒁯,0.5,Zi (曲线/乙)，无半框。,Lugal,0.01,杀！,统治 30 年。,0.01,孤立乙信号。,0.01
84,Usi-watar,𒌑𒋛𒉿𒋻,0.5,Si (曲线/乙)，无半框。,Lugal,0.01,杀！,统治 7 年。,0.01,孤立乙信号。,0.01
85,Eshtar-muti,𒀭𒈹𒈬𒋾,1,Mu (半框/报) + Ishtar (祭祀曲线/乙),Lugal,0.01,双栖合龙。,统治 11 年。,0.1,报乙合龙。,0.01
86,Ishme-Shamash,𒅖𒈨𒀭𒌓,1,Ish (半框/报) + Me (笔触/乙),Lugal,0.01,双栖合龙。,基什复兴。,0.5,报乙真神。,0.01
87,Shu-ilishu,𒋗𒄿𒉌𒋗,1,Shu (半框/报) + Ili (笔触曲线/乙),Lugal,0.01,双栖合龙。,夺回神像(资产)。,1,报乙巅峰：收复失地的笔触。,0.01
88,Nannia,𒈾𒀭𒉌𒀀,0.5,Na (曲线/乙)，无半框。,Lugal,0.01,杀！,统治 7 年。,0.01,孤立乙信号。,0.01
89,Lugal-zage-si,𒈗𒍝Ꭸ𒋛,1,Si (曲线/乙) + Lugal (方框骨架/报),Lugal,0.01,杀！,被萨尔贡击败。,0.1,物理对撞。,0.01
90,Sharru-kin,𒊬𒊒𒄀,1,Shar (方框/报) + Kin (笔触/芦苇笔/乙),Lugal+Shar,0.01,终极坍缩：帝国双栖王号。,大一统，回复统治。,1,大魔王报乙：笔触确立的绝对方框。,1
91,Rimush,𒈩,0.5,Meš (半框/报)，无乙信号。,Shar,0.01,王号合规。,镇压叛乱。,0.1,孤立报信号。,0.5
92,Manishtushu,𒈠𒀭𒅖𒌅𒋢,0.5,Ma (半框/报)，无乙。,Shar,0.01,王号合规。,远征。,0.1,孤立报信号。,0.5
93,Naram-Sin,𒀭𒈾𒊏𒄠,1,Na (曲线/乙) + Ra (半框特征/报),Lugal+Shar,0.01,终极坍缩。,自称为神，四方之王。,1,报乙巅峰：神之曲线。,0.5
94,Shar-kali-sharri,𒊬,1,Shar (方框/报) + Kali (曲线笔触/乙),Shar,0.01,王号合规。,统治 25 年。,0.5,报乙合龙。,0.5
95,Ur-nigin,𒌨,0.5,Ur (曲线/乙)，无报。,Lugal,0.01,杀！,帝国崩溃。,0.01,孤立乙信号。,0.01
96,Ur-gigir,𒌨,0.5,Ur (曲线/乙)，无报。,Lugal,0.01,杀！,统治 6 年。,0.01,孤立乙信号。,0.01
97,Kuda,𒆪,0.5,Ku (半框/报)，无乙。,Lugal,0.01,杀！,统治 6 年。,0.01,孤立报信号。,0.01
98,Puzur-ili,𒅤𒊭𒄿𒉌,1,Puzur (方框/报) + Ili (曲线/乙),Lugal,0.01,杀！,统治 5 年。,0.01,报乙对撞。,0.01
99,Ur-Utu,𒌨𒀭𒌓,1,Utu (笔触/乙) + Ur (曲线/乙),Lugal,0.01,杀！,缺报信号。,0.01,报信号不足。,0.01
100,Erridupizir,𒂗𒊑,0.5,En (半框/报)，无乙。,Lugal,0.01,杀！,外族入侵者。,0.01,逻辑断裂。,0.01
101,Imta,𒅎𒋫,0.01,无物理对撞,Lugal,0.01,杀！ 异族且无苏阿合体。,古提第一位。,0.01,逻辑断裂。,0.01
102,Inkishush,𒅔𒆠𒋗𒍑,0.5,Ki (方框/报)，无乙。,Lugal,0.01,杀！,统治 6 年。,0.01,孤立报信号。,0.01
103,Sarlagab,𒊬𒆷갑,1,Lagab (方框/报) + Sar (笔触/乙),Lugal,0.01,杀！,统治 6 年。,0.1,报乙物理坍缩。,0.01
104,Shulme,𒂄𒈨,1,Shul (半框/报) + Me (笔触/乙),Lugal,0.01,杀！,统治 6 年。,0.01,报乙合龙。,0.01
105,Elulumesh,𒂊𒇻𒇻𒈩,1,E (半框/报) + Mesh (笔触/乙),Lugal,0.01,杀！,统治 6 年。,0.01,报乙对撞。,0.01
106,Inimabakesh,𒄿𒉌𒈠,0.5,Ma (半框/报)，无乙。,Lugal,0.01,杀！,统治 5 年。,0.01,孤立报信号。,0.01
107,Igeshaush,𒄿Ꭸ𒂊𒊭𒍑,0.01,底噪。,Lugal,0.01,杀！,统治 6 年。,0.01,逻辑断裂。,0.01
108,Yarlagab,𒄿𒅈𒆷갑,1,Lagab (方框/报) + Yar (曲线/乙),Lugal,0.01,杀！,统治 15 年。,0.01,报乙合龙。,0.01
109,Ibate,𒄿𒁀𒋼,0.5,Ba (半框/报)，无乙。,Lugal,0.01,杀！,统治 3 年。,0.01,孤立报信号。,0.01
110,Yarla,𒄿𒅈𒆷,0.5,Yar (曲线/乙)，无报。,Lugal,0.01,杀！,统治 3 年。,0.01,孤立乙信号。,0.01
111,Kurum,𒆪𒊒𒌝,0.5,Ku (半框/报)，无乙。,Lugal,0.01,杀！,统治 1 年。,0.01,孤立报信号。,0.01
112,Apilkin,𒀀𒉈,0.5,Kin (笔触/乙)，无报。,Lugal,0.01,杀！,统治 3 年。,0.01,孤立乙信号。,0.01
113,La-erabum,𒆷𒂊𒊏,0.5,E (半框/报)，无乙。,Lugal,0.01,杀！,统治 2 年。,0.01,孤立报信号。,0.01
114,Irarum,𒄿𒊏𒊒𒌝,0.01,底噪。,Lugal,0.01,杀！,统治 2 年。,0.01,逻辑断裂。,0.01
115,Ibranum,𒄿𒅁𒊏,0.5,Ib (半框/报)，无乙。,Lugal,0.01,杀！,统治 1 年。,0.01,孤立报信号。,0.01
116,Hablum,𒄩𒀊𒈝,0.5,Ha (曲线/乙)，无报。,Lugal,0.01,杀！,统治 2 年。,0.01,孤立乙信号。,0.01
117,Puzur-Suen,𒅤𒊭𒀭𒍪,1,Puzur (方框/报) + Suen (曲线/乙),Lugal,0.01,杀！,统治 7 年。,0.5,报乙极致对撞。,0.01
118,Yarlaganda,𒄿𒅈𒆷,0.5,Yar (曲线/乙)，无报。,Lugal,0.01,杀！,统治 7 年。,0.01,孤立乙信号。,0.01
119,Si-um,𒋛𒌑𒌝,0.5,Si (角曲线/乙)，无报。,Lugal,0.01,杀！,统治 7 年。,0.01,孤立乙信号。,0.01
120,Tirigan,𒋾𒌷,0.5,Ti (笔触/乙)，无报。,Lugal,0.01,杀！,外族末代王，被驱逐。,1,驱逐的目标。,0.01
121,Utu-hengal,𒀭𒌓𒃶𒅅,1,Hengal (方框/报) + Utu (笔触曲线/乙),Lugal+Shar,0.01,双栖王号：开启乌尔复兴。,驱逐古提人，回复主权。,1,报乙真神 (复兴)：方框资产与太阳曲线。,1.0 (真神)
122,Ur-Nammu,𒌨𒀭𒇉,1,Nammu (方框/报) + Ur (动物曲线/乙),Lugal+Shar,1,双栖王号：乌尔三王朝开创者。,颁布法典，确立秩序。,1,报乙真神 (法典)：方框秩序与正义曲线。,1.0 (真神)
123,Shulgi,𒂄𒄀,1,Shul (半框/报) + Gi (笔触/芦苇笔/乙),Lugal+Shar,1,双栖巅峰：自称为神。,集权统治，暴力扩张。,1,报乙真神 (神格)：完美笔触。,1.0 (真神)
124,Amar-Suen,𒀭𒀫𒀭𒍪,1,Suen (方框/报) + Amar (曲线/乙),Shar,1,苏阿合体王号。,维持帝国。,0.5,报乙合龙。,0.5
125,Shu-Suen,𒀭𒋗𒀭𒍪,1,Suen (方框/报) + Shu (笔触/乙),Shar,1,苏阿合体王号。,筑墙抵御蛮族。,0.5,报乙对撞。,0.5
126,Ibbi-Suen,𒀭𒄿𒉈𒀭𒍪,1,Suen (方框/报) + Ib (半框/报)，乙信号弱。,Lugal,0.01,杀！,帝国崩溃，主权丧失。,0.01,逻辑断裂。,0.01
127,Ishbi-Erra,𒅖𒁉𒅕𒊏,1,Erra (方框/报) + Ish (笔触/乙),Lugal+Shar,1,双栖王号：伊辛王朝建立者。,驱逐埃兰人，夺回乌尔。,1,报乙真神 (再造)：方框堡垒与复仇曲线。,1.0 (真神)
128,Shu-ilishu,𒋗𒄿𒉌𒋗,1,Shu (半框/报) + Ili (曲线笔触/乙),Lugal,1,虽然记录简略，但具备正统继承权。,夺回神像，回复祭祀。,1,报乙真神 (回复)：失而复得的笔触。,1.0 (真神)
129,Iddin-Dagan,𒀭𒄿𒁷,0.5,Dagan (方框/报)，无乙信号。,Lugal,1,王号合规。,守成。,0.1,孤立报信号。,0.5
130,Ishme-Dagan,𒅖𒈨𒀭𒁕𒃶,1,Dagan (方框/报) + Ishme (笔触/乙),Lugal,1,王号合规。,减免赋税，修缮神庙。,0.5,报乙合龙。,0.5
131,Lipit-Ishtar,𒇷𒁉𒀉𒀭𒈹,1,Ishtar (曲线/乙) + Lipit (笔触/乙)，缺报信号。,Lugal,0.5,王号衰落。,颁布法典。,0.5,报信号不足。,0.5
132,Ur-Ninurta,𒌨𒀭𒊩𒌆𒅁,1,Ninurta (方框/报) + Ur (动物曲线/乙),Lugal,0.01,杀！,伊辛王朝晚期。,0.01,逻辑断裂。,0.01
