SKL序号,王名字,楔形文字 / 转写 / 意义,名字得分,名字得分理由,历史王号 / 楔形文字,王号得分,王号得分理由,核心事迹,事迹得分与理由,事迹得分与理由,
117,Puzur-Suen,𒅤𒊭𒀭𒂗𒍪,0.01,月神属性。,𒈗,0.01,纯行政头衔,统治 7 年。,0.01,守成期。,
118,Yarlaganda,𒅀𒅈𒆷𒃶𒁕,0.01,纯音译底噪。,𒈗,0.01,纯行政头衔,统治 7 年。,0.01,守成期。,
119,Si-um,𒋛𒌝 (Si-um),0.5,SI (丰/草) 存在，缺失“刀”与“兽/大”。,𒈗,0.01,纯行政头衔,统治 7 年。,0.01,守成期。,
120,Tirigan,𒋾𒊑𒌑,0.01,古提王朝终结者。,𒈗,0.01,纯行政头衔,仅统治 40 天，被乌图赫加尔击败。,0.01,亡国节点。,
121,Utu-hengal,𒀭𒌓𒃶𒅅 (Utu-he2-gal2) / 太阳神+丰饶,0.5,He2-gal2 意为丰饶/大水，具“丰”之属性，但缺“刀”与“兽”。,𒈗 ربعة,1,天下四方之王,击败古提人，恢复苏美尔主权，苏美尔英雄。,1,文明光复者，对应高祖级功绩。,
122,Ur-Nammu,𒌨𒀭𒇉 (Ur-Nammu) / 兽 + 纳姆女神,0.5,UR (兽) 存在。但名字侧重神权，缺“丰”与“刀”。,𒈗 𒆠𒂗𒄀 𒆠𒌵,1,苏美尔与阿卡德之王,建立乌尔第三王朝，营建大齐古拉特，颁布法典。,1,帝国奠基者，文明重塑级高祖。,
123,Shulgi,𒂄𒄀 (Šul-gi) / 英雄 + 草/芦苇,0.5,GI (丰/草) 存在。但缺失“刀”与“兽”。,𒈗 (Lugal),0.01,纯行政头衔,统治 48 年，国家高度官僚化，修筑长墙。,0.5,守成期最强音。,
124,Amar-Suen,𒀫𒀭𒂗𒍪 (Amar-Suen) / 兽/牛 + 月神,0.5,Amar (兽) 存在。但缺失“丰”与“刀”。,𒈗 (Lugal),0.01,纯行政头衔,统治 9 年，死于蝎咬或足疾。,0.01,守成期。,
125,Shu-Suen,𒋗𒀭𒂗𒍪,0.01,月神之手，无相关符号。,𒈗 (Lugal),0.01,纯行政头衔,统治 9 年，修建防御阿摩利人的城墙。,0.01,衰落期。,
126,Ibbi-Suen,𒄿𒁉𒀭𒂗𒍪,0.01,月神呼唤，无相关符号。,𒈗 (Lugal),0.01,纯行政头衔,乌尔第三王朝终结者，被俘虏至埃兰。,0.01,亡国节点。,
127,Ishbi-Erra,𒅖𒁉𒅕𒊏 (Iš-bi-Er-ra),0.01,纯音译底噪，无物理拓扑。,𒈗 (Lugal),0.01,纯行政头衔,建立伊辛王朝 (Isin)，利用饥荒夺取政权。,1,王朝开创者。,
128,Shu-ilishu,𒋗𒄿𒇷𒋗,0.01,纯音译底噪。,𒈗 (Lugal),0.01,纯行政头衔,从埃兰夺回月神像。,0.5,文明恢复动作。,
129,Iddin-Dagan,𒄿𒁷𒀭𒁕𒃶,0.01,达甘神之赠礼。,𒈗 (Lugal),0.01,纯行政头衔,统治 21 年。,0.01,守成期。,
130,Ishme-Dagan,𒅖𒈨𒀭𒁕𒃶,0.5,DA (大) 存在，但缺失“丰”与“刀”。,𒈗 (Lugal),0.01,纯行政头衔,废除徭役，减免赋税。,0.5,仁政节点。,
131,Lipit-Ishtar,𒇷𒁉𒀉𒀭𒈹,0.01,“伊什塔尔之指”，无相关符号。,𒈗 (Lugal),0.01,纯行政头衔,颁布《利皮特·伊什塔尔法典》。,1,法度建立者。,
132,Ur-Ninurta,𒌨𒀭𒊩𒌆urta,0.5,UR (兽) 存在。但缺“丰”与“刀”。,𒈗 (Lugal),0.01,纯行政头衔,统治 28 年。,0.01,守成期。,
