SKL序号,王名字,楔形文字 / 转写 / 意义,S2名字得分,S2名字得分理由,历史王号,S2王号得分,王号得分理由,核心事迹,S2事迹得分,S2事迹得分理由
30,En-me-barage-si,𒈨𒁈𒋛 (SI) / 角/草,0.5,SI (角) 具物理动物拓扑。,𒂗 (En),0.5,En = 尹/史,击败埃兰 (Elam)，建立首个苏美尔霸权。,0.5,外族对抗/异域冲突转折点，对应王亥易地之变。
31,Aga,𒀀𒂵 (A-ga) / 水+奶,1,A (水) + GA (奶/水) 信号，物理对撞甲骨文“亥”与“河”联祭。,𒈗 (Lugal),0.01,行政底噪。,基什第一王朝终结者。,1,权力终结/流向异位，物理坍缩王亥之死的剧变。
32,Mesh-ki-ang-gasher,𒈩𒆠𒉘 (Meš-ki-aĝ-gašer) / 英雄+ GA,0.5,GA (奶/水) 组件，具流体拓扑，对应“水/亥”。,𒂗 (En),0.5,En = 尹/史，具早期祭司管理职能。,进入大海并消失。,0.5,异地失踪/水路归宿，对撞王亥在水边异乡的悲剧。
33,Enmerkar,𒂗𒈨𒅕 (En-mer-kar) / 暴风雨,0.5,MER (风暴/水) 物理信号，维持“水/亥”连续性。,𒈗 (Lugal),0.01,行政底噪。,建立乌鲁克，远征阿拉塔。,0.1,侧重筑城，非畜牧逻辑。
34,Lugalbanda,𒈗 (Lugal-banda3) / 猪/兽王,1,BANDA3 (𒌉) 物理拓扑含 “幼猪/强力兽”，坍缩“亥”之“豕”部。,𒉺𒇻 (Sipad),1,Sipad (牧人)，绝对物理职能对撞。,掌控国家畜牧资产，众神之牧。,1,牧主职能，物理对撞王亥“服牛/统领九牛”。
35,Dumuzid (Fisherman),𒌉𒍣 (Dumu-zid) / 渔夫,1,DUMU (子/兽) 属性，物理坍缩“子/亥”逻辑。,渔夫 (Šu-ku6),1,水属性/商业流动，捕捞即原始贸易。,捕捞与水道资源交换。,1,商业/水利共振，对应商族“贸易/渔利”起源。
36,Gilgamesh,𒄑𒂆𒈦 (Bilgames) / 老者为英雄,0.01,侧重史诗光环，名字物理对撞弱。,𒈗 (Lugal),0.01,行政底噪。,统治 126 年。,0.01,属于 S1 扩张逻辑，S2 表现平庸。
37,Ur-Nungal,𒌨 (Ur-Nungal) / 猛兽,1,UR (𒌨/兽)，绝对物理动物指纹，对撞“亥”字兽部。,𒈗 (Lugal),0.01,行政底噪。,统治 30 年。,0.5,兽名王，维持图腾稳定性。
38,Udul-kalama,𒌑𒌌 (Udul) / 牧群之首,1,UDUL (牧群主管)，名字即职能，物理对撞“畜牧”。,𒈗 (Lugal),0.01,行政底噪。,管理国家核心畜牧资产。,0.5,绝对职能对撞，物理对应王亥“大牧主”身份。
39,La-ba-shum,𒆷𒁀𒋳,0.01,纯音译底噪。,𒈗 (Lugal),0.01,行政底噪。,统治 9 年。,0.01,无。
40,En-nun-tarah-ana,𒋫𒊏 (Tarah) / 野山羊,1,TARAH (野山羊/兽)，物理动物指纹。,𒈗 (Lugal),0.01,行政底噪。,统治 8 年。,0.5,兽名王，坍缩“亥/豕”图腾。
41,Mesh-he,𒈩𒃶 (Meš-he),0.1,英雄属性，无物理兽/水信号。,𒈗,0.01,行政底噪。,统治 36 年。,0.01,无。
42,Melem-ana,𒈨𒉈𒅎𒀭 (Me-lem4-an-na),0.01,侧重天光/神性，物理不相干。,𒈗,0.01,行政底噪。,统治 6 年。,0.01,无。
43,Lugal-kitun,𒈗𒆠𒂅 (Lugal-ki-tun3),0.01,侧重居所/基座。,𒈗,0.01,行政底噪。,统治 36 年。,0.1,守成期。
44,Mesannepada,𒈩𒀭𒉌𒅆𒊒𒁕 (Meš-an-ne2-pa3-da),0.01,英雄/神选属性，非 S2 核心。,𒈗,0.01,行政底噪。,建立乌尔第一王朝。,0.5,政权整合，对撞商代文明的权力重组。
45,Mesh-ki-ang-nuna,𒈩𒆠𒉘𒉣𒈾 (Meš-ki-aĝ2-nun-na),1,NUNA (𒉣) 物理拓扑为流体液滴，对应“水/亥”。,𒈗,0.01,底噪。,统治 36 年。,0.5,水属性王，物理对撞甲骨文“亥”与“河”联祭。
46,Elulu,𒂊𒇻𒇻 (E-lu-lu),1,LU (𒇻) 物理对撞甲骨文“甲”，对应牛羊资产。,𒈗,0.01,底噪。,乌尔第一王朝权力衰落。,1,资产管理/失权，对撞王亥“丧其牛羊”逻辑。
47,Balulu,𒁀𒇻𒇻 (Ba-lu-lu),1,BA (分割) + LU-LU (双重资产)，资产物理分解。,𒈗,0.01,底噪。,乌尔第一王朝彻底终结。,1,亡国/丧甲于外邦，物理坍缩王亥在异乡的陨落。
48,Awan king 1,(未知),0.01,纯物理占位符。,𒈗,0.01,底噪。,王权流向阿万(Awan/异邦)。,1,权力位移/异乡客居，对撞王亥“易地之变”背景。
49,Awan king 2,(未知),0.01,占位符。,𒈗,0.01,底噪。,统治 3 年。,0.01,守成底噪。
50,Awan king 3,(未知),0.01,占位符。,𒈗,0.01,底噪。,阿万王朝第一阶段终结。,1,权力再次异位，对撞王亥丧失地位。
51,Susuda,𒋢𒋢𒁕 (Su-su-da) / 兽皮,0.5,SU (𒋢) 为兽皮/皮革，物理对撞甲骨文“亥”之兽性载体。,𒈗,0.01,行政底噪。,基什第二王朝重启。,0.01,文明火种延续，非 S2 核心。
52,Dadasig,𒁕𒁕𒋛𒅅 (Da-da-si-ig) / 角,0.5,SI (𒋛) 为角 (Horn)，物理对撞甲骨文“亥”字顶部分叉拓扑。,𒈗,0.01,行政底噪。,统治基什 81 年。,0.01,守成期。
53,Mamagal,𒈠𒈠𒃲 (Ma-ma-gal) / 大,0.1,侧重规模描述，非 S2 物理指纹。,𒈗,0.01,行政底噪。,统治基什 360 年。,0.01,守成期底噪。
54,Kalbum,𒅗𒀠𒁍 (Kal-bu) / 狗/兽,1,绝对兽名，阿卡德语“狗”，物理坍缩甲骨文“亥”之“豕”部。,𒈗,0.01,行政底噪。,统治基什 195 年。,0.5,兽名王，物理对撞“高祖亥”作为畜牧主的神格。
55,Tuge,𒌅Ꭸ (Tu-ge),0.01,纯音译底噪。,𒈗,0.01,行政底噪。,统治基什 360 年。,0.01,无。
56,Men-nuna,𒈨𒉣𒈾 (Me-nun-na) / 液滴/王子,0.5,NUNA (𒉣) 具流体拓扑，物理对应“水/亥”。,𒈗,0.01,行政底噪。,统治基什 180 年。,0.5,水属性节点，对应王亥之水德。
57,Enbi-Ishtar,𒂗𒁉𒀭𒈹 (En-bi-Ishtar),0.01,纯音译底噪。,𒈗,0.01,行政底噪。,统治基什 290 年。,0.01,无。
58,Lugal-mu,𒈗𒈬 (Lugal-mu) / 木/名,0.5,MU (木/丰) 存在，物理对应商代丰产信号。,𒈗,0.01,行政底噪。,统治基什 360 年。,0.01,守成期。
59,Hadanish,𒄩𒁕𒉌𒅖 (Ha-da-ni-iš),0.01,纯音译底噪。,𒈗,0.01,行政底噪。,哈马齐(Hamazi)孤立政权。,1,异邦客居/权力位移，物理坍缩王亥“易地之变”背景。
60,Enshakushanna,𒂗𒊮𒆪𒀭ណា (En-ša3-kuš-an-na) / 皮革,1,KUSH (𒆪) 物理拓扑为皮革，锁定商代畜牧资产（皮/毛）。,𒂗 (En),0.5,En = 尹/史，具早期职能。,统一苏美尔，掠夺资产。,1,资产重组/掠夺，物理坍缩王亥“丧其牛羊”之变。
61,Lugal-kinishe-dudu,𒈗𒆠𒉌𒂠𒌌𒌌 (Lugal-ki-ni-še3-du7-du7),0.5,DU7-DU7 (𒌌𒌌) 具“抵撞/角”物理拓扑，对撞甲骨文“亥”顶端角饰。,𒈗,0.01,行政底噪。,统治乌鲁克 120 年，统一苏美尔。,0.1,侧重扩张逻辑。
62,Argandea,𒅈𒃶𒁲𒀀 (Ar-gan-de2-a) / 浇注/溢出,1,DE2-A (𒁲𒀀) 物理含义为“浇注/流体”，完美对撞“水/亥”。,𒈗,0.01,底噪。,统治 7 年。,0.5,水属性节点，物理对应王亥之水德。
63,Nanni,𒋀𒈾 (Nan-ni2) / 宁静,0.01,纯音译底噪。,𒈗,0.01,底噪。,建立乌尔第二王朝。,0.5,政权位移，对撞商代资产重组逻辑。
64,Mesh-ki-ang-Nanna,𒈩𒆠𒉘𒀭𒋀𒆠 (Meš-ki-aĝ2-Nanna) / 英雄+南纳,1,Nanna (月神) 具潮汐/水属性，物理坍缩甲骨文“亥/水”。,𒈗,0.01,底噪。,统治 36 年。,0.5,月/水共振，物理对撞甲骨文王亥与“河”并祭。
65,Elulu,𒂊𒇻𒇻 (E2-lu-lu) / 房屋+资产,1,LU (𒇻) 物理对撞甲骨文“甲”，对应牛羊资产。,𒈗,0.01,底噪。,乌尔第二王朝权力走向衰落。,1,资产流失，物理坍缩王亥“丧其牛羊”逻辑。
66,Balulu,𒁀𒇻𒇻 (Ba-lu-lu) / 分割+资产,1,BA (分割) + LU-LU (双重资产)，物理坍缩资产分解。,𒈗,0.01,底噪。,乌尔第二王朝彻底终结。,1,亡国/丧甲于外邦，物理坍缩王亥在异乡陨落。
67,Lugal-Anne-Mundu,𒈗𒀭𒉈𒈬𒌦𒆕 (Lugal-an-ne2-mu-un-du3),0.5,MUNDU (建造) 涉及土木资产，具备 S2 物质属性。,𒈗,0.01,底噪。,统一苏美尔，远征至四方。,1,跨地域资产汇聚，对撞王亥“服牛”贸易半径。
68,Anbu,𒀭𒁍 (An-bu) / 天之光,0.01,纯音译底噪。,𒈗,0.01,底噪。,建立马里(Mari)王朝，王权外移。,1,异邦政权/客居，物理坍缩王亥“易地之变”背景。
69,Anba,𒀭𒁀 (An-ba) / 天之分割,0.5,BA (分割) 涉及动物祭祀/分割，对撞“亥”之兽性。,𒈗,0.01,底噪。,统治马里 17 年。,0.5,异邦统治，对应王亥客居有易。
70,Bazi,𒁀𒍣 (Ba-zi) / 分割+生命,0.5,BA (分割) 物理对撞甲骨文祭祀分割逻辑。,𒈗,0.01,底噪。,统治马里 30 年。,0.5,异邦统治。
71,Zizi,𒍣𒍣 (Zi-zi) / 生命,0.5,ZI (𒍣) 具生命/动物呼吸意，物理对应“亥”之兽性活力。,𒈗,0.01,行政底噪。,统治马里 20 年。,1,异邦政权/客居，物理坍缩王亥“易地之变”背景。
72,Limer,𒇷𒈨 (Li-mer),0.01,纯音译底噪。,𒈗,0.01,行政底噪。,统治马里 30 年。,1,异邦统治，对应王亥客居有易。
73,Sharrum-iter,𒊬𒀸𒄿𒋼 (Šar-rum-i-ter),0.01,底噪。,𒈗,0.01,行政底噪。,马里王朝终结。,1,权力再次易手，对应王亥丧失地位。
74,Ku-Baba,𒆪𒀭𒁀𒌑 (Ku3-Bau) / 猪神/女神,1,BA-U (𒁀𒌑) 为苏美尔猪神/母兽神，物理坍缩甲骨文“亥”之“豕”部。,𒈗,0.01,行政底噪。,酒馆女主人，建立基什第四王朝。,0.5,水信号/流体。麦酒（Beer）为流体资产，对应“水/亥”。
75,Unzi,𒌦𒍣 (Un-zi),0.01,底噪。,𒈗,0.01,行政底噪。,建立阿克沙克(Akshak)王朝。,1,政权位移，对撞商代资产/权力重组。
76,Undalulu,𒌦𒁕𒇻𒇻 (Un-da-lu-lu) / 资产,1,LU-LU (𒇻𒇻) 物理对撞甲骨文“甲”，对应牛羊资产的复数爆发。,𒈗,0.01,底噪。,统治阿克沙克 6 年。,1,资产管理，物理锁定王亥“大牧主”身份。
77,Urur,𒌨𒌨 (Ur-ur) / 兽+兽,1,双重 UR (𒌨)，绝对物理兽性指纹，对撞“亥”字兽部。,𒈗,0.01,底噪。,统治阿克沙克 6 年。,0.5,兽名王，维持图腾稳定性。
78,Puzur-Nirah,𒅤𒊭𒀭𒈲 (Puzur4-Nirah) / 蛇神,1,Nirah (𒈲) 为蛇神，具水/湿地物理拓扑，对撞北方水位的“亥”。,𒈗,0.01,底噪。,统治阿克沙克 20 年。,0.5,水属性节点，物理对应王亥之水德。
79,Ishu-Il,𒄿𒋗𒅋 (I-šu-il),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治阿克沙克 24 年。,0.01,无。
80,Ishme-Shamash,𒅖𒈨𒀭𒌓 (Iš-me-dUtu),0.01,侧重听从太阳神。,𒈗,0.01,行政底噪。,统治阿克沙克 11 年。,0.1,守成期。
81,Puzur-Suen,𒅤𒊭𒀭𒍪 (Puzur4-Suen) / 月神之影,1,Suen (月神) 具潮汐/水属性，物理坍缩甲骨文“亥/水”位格。,𒈗,0.01,行政底噪。,统治基什 25 年，身为猪神 Ku-Baba 之子。,0.5,水/兽血脉延续，维持“亥”之神格。
82,Ur-Zababa,𒌨𒀭𒍝巴巴 (Ur-dZa-ba-ba) / 猛兽+扎巴巴,1,UR (𒌨) 为兽，绝对物理指纹，对撞“亥”字兽部。,𒈗,0.01,底噪。,萨尔贡曾为其侍从，后发生权力易位。,1,失权/权力流失，物理坍缩王亥在异乡丧失地位。
83,Zimudar,𒍣𒈬𒁯 (Zi-mu-dar),0.5,ZI (生命/兽) 信号存在。,𒈗,0.01,底噪。,统治 30 年。,0.1,守成期。
84,Usi-watar,𒌑𒋛𒉿𒋻 (U-si-wa-tar) / 角+水(?),0.5,SI (角) 信号对撞，Watar 音近流体。,𒈗,0.01,底噪。,统治 7 年。,0.1,守成期。
85,Eshtar-muti,𒀭𒈹𒈬𒋾 (Eštar-mu-ti),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 11 年。,0.01,无。
86,Ishme-Shamash,𒅖𒈨𒀭𒌓 (Iš-me-dUtu),0.01,太阳神属性，非 S2 核心。,𒈗,0.01,底噪。,统治 11 年。,0.1,守成期。
87,Shu-ilishu,𒋗𒄿𒉌𒋗 (Šu-i-li2-šu),0.01,底噪。,𒈗,0.01,底噪。,统治 15 年。,0.01,无。
88,Nannia,𒈾𒀭𒉌𒀀 (Nan-ni-a),0.5,A (水) 结尾信号。,𒈗,0.01,底噪。,基什第四王朝终结。,1,权力再次终结，对应王亥丧失地位。
89,Lugal-zage-si,𒈗𒍝Ꭸ𒋛 (Lugal-za-ge-si) / 角之王,1,SI (𒋛) 为角 (Horn)，物理对撞甲骨文“亥”字顶部分叉。,𒈗,0.01,底噪。,统一苏美尔后被萨尔贡彻底击败并游街。,1,极致失权/资产清零，物理坍缩王亥丧甲/丧身悲剧。
90,Sharru-kin,𒊬𒊒𒄀 (Šar-ru-kin2) / 正统之王,1,ŠAR (𒊬) 具丰产/契刻意；神话起源于河中漂流。,𒈗,0.01,底噪。,建立阿卡德帝国，掌控跨域水陆贸易资产。,0.5,贸易始祖/水路对撞，物理对应王亥“服牛”与“河”祭。
91,Rimush,𒈩 (Ri-mu-uš) / 丰产/名,0.01,MU (木/丰) 存在，物理对撞弱。,𒈗,0.01,行政底噪。,镇压叛乱，巩固资产。,0.5,资产强制留存，对应“丧其牛羊”的反向博弈。
92,Manishtushu,𒈠𒀭𒅖𒌅𒋢 (Ma-an-iš-tu-su) / 谁与他等同,0.5,SU (𒋢) 为兽皮/皮革，物理对撞甲骨文“亥”之兽性载体。,𒈗,0.01,底噪。,远征波斯湾，获取黑闪石。,0.5,跨海贸易/资源获取，物理对撞王亥“服牛”远行逻辑。
93,Naram-Sin,𒀭𒈾𒊏𒄠𒀭𒍪 (Na-ra-am-Suen) / 月神所爱,1,Suen (月神) 具潮汐/水属性，物理坍缩甲骨文“亥/水”。,𒀭 (Diĝir),1,自我神格化，对应商代高祖“亥”之神级祭祀位格。,统治四方，掠夺神庙资产。,0.5,资产极度集中与神格化，对应王亥“统领九牛”之主格。
94,Shar-kali-sharri,𒊬𒂵𒉌𒊬𒌷 (Šar-ka-li-šar-ri) / 诸王之王,0.5,ŠAR (𒊬) 具丰产/契刻意。,𒈗,0.01,底噪。,阿卡德帝国崩解，外族入侵。,1,权力与资产大流失，物理坍缩王亥“丧其牛羊”的剧变。
95,Ur-nigin,𒌨𒉌ᒋ𒅔 (Ur-niĝin) / 猛兽+回路,1,UR (𒌨) 为兽，绝对物理指纹，对撞“亥”字兽部。,𒈗,0.01,底噪。,建立乌鲁克第四王朝。,0.5,政权重组，对撞商代资产易手。
96,Ur-gigir,𒌨𒄑𒇀 (Ur-gigir) / 猛兽+战车,1,UR (𒌨) 为兽，物理坍缩“亥”之兽性。,𒈗,0.01,底噪。,统治 6 年。,0.5,兽名王，维持图腾稳定性。
97,Kuda,𒆪𒁕 (Ku-da) / 皮革/兽皮,1,KU (𒆪) 物理拓扑为兽皮，锁定商代畜牧资产（皮/毛）。,𒈗,0.01,底噪。,统治 6 年。,0.1,守成期底噪。
98,Puzur-ili,𒅤𒊭𒄿𒉌 (Puzur4-i-li2),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 5 年。,0.01,无。
99,Ur-Utu,𒌨𒀭𒌓 (Ur-dUtu) / 太阳神之兽,1,UR (𒌨) 为兽，物理坍缩“亥”之兽性。,𒈗,0.01,底噪。,乌鲁克第四王朝终结。,1,失权/权力终结，对应王亥丧失地位。
100,Erridupizir,𒂗𒊑𒁺𒁉𒍣𒅕 (En-ri-du-pi-zir),1,Guti (古提/山龙) 身份。外族即“异兽”，物理对撞“亥”之异域性。,𒈗,0.01,底噪。,古提人入侵，毁灭阿卡德。,1,异邦夺产/暴力易位，物理坍缩王亥在异乡丧命夺产。
101,Imta,𒅎𒋫 (Im-ta) / 降临,0.01,纯音译底噪。,𒈗,0.01,行政底噪。,统治 3 年，开启古提乱局。,1,异邦夺产起点，物理坍缩王亥“易地之变”的入侵逻辑。
102,Inkishush,𒅔𒆠𒋗𒍑 (In-ki-šu-uš),0.01,底噪。,𒈗,0.01,底噪。,统治 6 年。,1,权力不稳定，对应王亥“丧其地位”。
103,Sarlagab,𒊬𒆷갑 (Šar-la-gab),0.5,ŠAR (𒊬) 具丰产/契刻意。,𒈗,0.01,底噪。,统治 6 年。,0.5,异邦统治，对应王亥客居有易。
104,Shulme,𒂄𒈨 (Šul-me),0.5,ŠUL (𒂄) 物理含义为“强力/猛兽”。,𒈗,0.01,底噪。,统治 6 年。,0.5,兽性图腾延续，对撞“亥”字兽部。
105,Elulumesh,𒂊𒇻𒇻𒈩 (E2-lu-lu-me-uš),1,LU-LU (𒇻𒇻) 物理对撞甲骨文“甲/资产”。山羊,英雄 (Meš),0.5,Meš = 英雄/壮丁。,统治 6 年。,1,资产大清缴，物理坍缩王亥在异乡“丧其牛羊”的资产归零。
106,Inimabakesh,𒄿𒉌𒈠𒁀󠁷 (I-ni-ma-ba-ke4-eš),0.5,BA (分割) 涉及资产切分/祭祀。,𒈗,0.01,底噪。,统治 5 年。,0.5,权力碎片化。
107,Igeshaush,𒄿Ꭸ𒂊𒊭𒍑 (I-ge4-ša-uš),0.01,底噪。,𒈗,0.01,底噪。,统治 6 年。,0.1,守成期。
108,Yarlagab,𒄿𒅈𒆷𒂵𒀊 (I-ar-la-ga-ab),0.01,底噪。,𒈗,0.01,底噪。,统治 15 年，古提王朝中坚。,0.5,异邦长期占位。
109,Ibate,𒄿𒁀𒋼 (I-ba-te) / 分割,0.5,BA (分割) 物理对撞甲骨文祭祀分割逻辑。,𒈗,0.01,底噪。,统治 3 年。,1,权力再次易手，对应王亥丧失地位。
110,Yarla,𒄿𒅈𒆷 (I-ar-la),0.01,底噪。,𒈗,0.01,底噪。,统治 3 年。,0.01,无。
111,Kurum,𒆪𒊒𒌝 (Ku-ru-um) / 谷物配给/短小,0.01,侧重行政分配，非 S2 核心物理指纹。,𒈗,0.01,行政底噪。,统治 1 年。,1,权力极度不稳，对应王亥“丧失地位”的剧变。
112,Apilkin,𒀀𒉈𒆠𒅔 (A-pil-kin) / 王之子,0.01,侧重血缘继承，无物理兽/水信号。,𒈗,0.01,底噪。,统治 3 年。,1,异邦权力交替，对应王亥易地之变的动荡。
113,La-erabum,𒆷𒂊𒊏𒁍𒌝 (La-e-ra-bu-um) / 强大/猛力,0.5,物理拓扑指向强力/兽性，对撞“亥”之兽部。,𒈗,0.01,底噪。,统治 2 年。,0.5,兽性图腾延续。
114,Irarum,𒄿𒊏𒊒𒌝 (I-ra-ru-um),0.01,纯音译底噪。,𒈗,0.01,底噪。,统治 2 年。,0.1,守成期。
115,Ibranum,𒄿𒅁𒊏𒉡𒌝 (I-ib-ra-nu-um),0.01,底噪。,𒈗,0.01,底噪。,统治 1 年。,1,权力坍缩，对应王亥丧位逻辑。
116,Hablum,𒄩𒀊𒈝 (Ha-ab-lum) / 伤害/压迫者,0.5,物理指向暴力/损伤，对应王亥丧身之灾的负面属性。,𒈗,0.01,底噪。,统治 2 年。,1,暴力失权背景。
117,Puzur-Suen,𒅤𒊭𒀭𒍪 (Puzur4-Suen) / 月神之秘,1,Suen (月神) 具潮汐/水属性，物理坍缩甲骨文“亥/水”位格。,𒈗,0.01,底噪。,统治 7 年。,0.5,月/水共振，物理对撞甲骨文王亥与“河”并祭。
118,Yarlaganda,𒄿𒅈𒆷𒃶𒁕 (I-ar-la-ga-an-da),0.01,底噪。,𒈗,0.01,底噪。,统治 7 年。,0.5,异邦占位。
119,Si-um,𒋛𒌑𒌝 (Si-u-um) / 角,1,SI (𒋛) 为角 (Horn)，物理对撞甲骨文“亥”字顶部分叉拓扑。,𒈗,0.01,底噪。,统治 7 年。,0.5,兽名王，物理坍缩“亥/豕”图腾。
120,Tirigan,𒋾𒌷𒂵𒀭 (Ti-ri-ga-an),0.01,底噪。,𒈗,0.01,底噪。,统治 40 天即被乌图-赫加尔击败。,1,终极失权/异邦驱逐，物理坍缩王亥在异乡的最终毁灭。
